t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0,0,0
0.1930,9.6500,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1884,0.0000,0.0000,0.0000,9.6500,1.8116,1,1,0
0.3860,19.3000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1884,0.0000,0.0000,0.0000,19.3000,1.8116,1,1,0
0.5110,19.3000,0.0000,4.7500,0.0000,0.0000,0.0000,2114.0000,0.0000,4.9553,0.0000,0.0000,0.0000,2094.7000,0.2054,1,1,0
0.6360,19.3000,0.0000,4.4999,0.0000,0.0000,0.0000,2114.0000,0.0000,4.9553,0.0000,0.0000,0.0000,2094.7000,0.4554,1,1,0
0.8949,19.3000,0.0000,4.4618,0.0000,0.0000,0.0000,2121.8000,0.0000,4.5375,0.0000,0.0000,0.0000,2102.5000,0.0757,1,1,0
1.1537,19.3000,0.0000,4.3477,0.0000,0.0000,0.0000,3330.0000,0.0000,4.5375,0.0000,0.0000,0.0000,3310.7000,0.1898,1,1,0
1.4125,19.3000,0.0000,4.1573,0.0000,0.0000,0.0000,3330.0000,0.0000,4.4663,0.0000,0.0000,0.0000,3310.7000,0.3090,1,1,0
1.6713,19.3000,0.0000,3.8529,0.0000,0.0000,0.0000,3606.2000,0.0000,4.2272,0.0000,0.0000,0.0000,3586.9000,0.3743,1,1,0
1.9301,19.3000,0.0000,3.5078,0.0000,0.0000,0.0000,5146.6000,0.0000,3.9606,0.0000,0.0000,0.0000,5127.3000,0.4528,1,1,0
2.1890,19.3000,0.0000,3.1627,0.0000,0.0000,0.0000,5428.9000,0.0000,3.9606,0.0000,0.0000,0.0000,5409.6000,0.7979,1,1,0
2.4478,19.3000,0.0000,2.8176,0.0000,0.0000,0.0000,5784.9000,0.0000,3.5507,0.0000,0.0000,0.0000,5765.6000,0.7331,1,1,0
2.7066,19.3000,0.0000,2.4725,0.0000,0.0000,0.0000,5784.9000,0.0000,3.1692,0.0000,0.0000,0.0000,5765.6000,0.6967,1,1,0
2.9654,19.3000,0.0000,2.1274,0.0000,0.0000,0.0000,7155.6000,0.0000,2.5761,0.0000,0.0000,0.0000,7136.3000,0.4487,1,1,0
3.2242,19.3000,0.0000,1.7823,0.0000,0.0000,0.0000,7155.6000,0.0000,2.1616,0.0000,0.0000,0.0000,7136.3000,0.3793,1,1,0
3.4830,19.3000,0.0000,1.4372,0.0000,0.0000,0.0000,8194.2000,0.0000,2.1616,0.0000,0.0000,0.0000,8174.9000,0.7244,1,1,0
3.7419,19.3000,0.0000,1.0921,0.0000,0.0000,0.0000,8194.2000,0.0000,1.8128,0.0000,0.0000,0.0000,8174.9000,0.7207,1,1,0
4.0007,19.3000,0.0000,0.7470,0.0000,0.0000,0.0000,8490.0000,0.0000,1.2053,0.0000,0.0000,0.0000,8470.7000,0.4583,1,1,0
4.2595,19.3000,0.0000,0.4426,0.0000,0.0000,0.0000,9917.9000,0.0000,0.8610,0.0000,0.0000,0.0000,9898.6000,0.4184,1,1,0
4.5183,19.3000,0.0000,0.2522,0.0000,0.0000,0.0000,10234.2000,0.0000,0.8610,0.0000,0.0000,0.0000,10214.9000,0.6088,1,1,0
4.7771,19.3000,0.0000,0.1381,0.0000,0.0000,0.0000,11099.9000,0.0000,0.4735,0.0000,0.0000,0.0000,11080.6000,0.3354,1,1,0
5.0360,19.3000,0.0000,0.1000,0.0000,0.0000,0.0000,11099.9000,0.0000,0.2585,0.0000,0.0000,0.0000,11080.6000,0.1585,1,1,0
5.0873,19.3000,0.0000,0.1000,-0.0137,0.0000,0.0000,13937.5000,0.0000,0.2585,0.0000,0.0000,0.0000,13918.2000,0.1585,1,0,0
5.1387,19.3000,0.0000,0.1000,-0.0564,0.0000,0.0000,13937.5000,0.0000,0.1128,-0.0018,0.0000,0.0000,13918.2000,0.0128,1,0,0
5.1901,19.3000,0.0000,0.1000,-0.1163,0.0000,0.0000,13937.5000,0.0000,0.1128,-0.0018,0.0000,0.0000,13918.2000,0.0128,1,0,0
5.2415,19.3000,0.0000,0.1000,-0.1762,0.0000,0.0000,19345.0000,0.0000,0.1128,-0.0018,0.0000,0.0000,19325.7000,0.0128,1,0,0
