t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,3.5000,0.0000,0.1000,0.0000,0.0000,0.0000,37302.3013,250.9376,0.3235,5.1360,0.0000,0.0000,37299.6454,0.2235,0,0,0
0.0521,3.5000,0.0000,0.1000,0.0167,0.0000,0.0000,37133.9589,244.0790,0.1088,5.1360,0.0000,0.0000,37131.2611,0.0088,0,0,0
0.1042,3.5000,0.0000,0.1000,0.0679,0.0000,0.0000,37133.9589,244.0790,0.1088,5.1360,0.0000,0.0000,37131.2611,0.0088,0,0,0
0.1562,3.5000,0.0000,0.1000,0.1286,0.0000,0.0000,37133.9589,244.0790,0.1088,5.1360,0.0000,0.0000,37131.2611,0.0088,0,0,0
0.2083,3.5000,0.0000,0.1000,0.1893,0.0000,0.0000,31498.9009,204.1166,0.1003,0.5401,0.0000,0.0000,31496.0623,0.0003,0,0,0
0.2604,3.5000,0.0000,0.1000,0.2500,0.0000,0.0000,31498.9009,204.1166,0.1003,0.5401,0.0000,0.0000,31496.0623,0.0003,0,0,0
0.3125,3.5000,0.0000,0.1000,0.3107,0.0000,0.0000,31498.9009,204.1166,0.1003,0.5401,0.0000,0.0000,31496.0623,0.0003,0,0,0
0.3646,3.5000,0.0000,0.1000,0.3714,0.0000,0.0000,25249.4716,163.8334,0.1000,0.2707,0.0000,0.0000,25246.5032,0.0000,0,0,0
0.4167,3.5000,0.0000,0.1000,0.4321,0.0000,0.0000,25249.4716,163.8334,0.1000,0.2707,0.0000,0.0000,25246.5032,0.0000,0,0,0
0.4687,3.5000,0.0000,0.1000,0.4833,0.0000,0.0000,25249.4716,163.8334,0.1000,0.2707,0.0000,0.0000,25246.5032,0.0000,0,0,0
0.5208,3.5000,0.0000,0.1000,0.5000,0.0000,0.0000,18905.7001,120.2009,0.1000,0.4307,0.0000,0.0000,18902.5823,0.0000,0,0,0
0.5209,3.5068,0.0012,0.1000,0.5001,0.0000,0.0000,18905.7001,120.2009,0.1000,0.4307,0.0000,0.0000,18902.5755,0.0000,0,0,0
0.5211,3.5137,0.0024,0.1000,0.5003,0.0000,0.0000,18905.7001,120.2009,0.1000,0.4307,0.0000,0.0000,18902.5686,0.0000,0,0,0
0.5212,3.5199,0.0060,0.1000,0.5004,0.0000,0.0000,12778.8246,77.8110,0.1000,0.4970,0.0000,0.0000,12775.5416,0.0000,0,0,0
0.5213,3.5261,0.0095,0.1000,0.5006,0.0000,0.0000,12778.8246,77.8110,0.1000,0.4970,0.0000,0.0000,12775.5354,0.0000,0,0,0
0.5214,3.5311,0.0152,0.1000,0.5007,0.0000,0.0000,12778.8246,77.8110,0.1000,0.4970,0.0000,0.0000,12775.5303,0.0000,0,0,0
0.5216,3.5361,0.0208,0.1000,0.5009,0.0000,0.0000,6509.7115,37.6067,0.1000,0.5004,0.0000,0.0000,6506.2839,0.0000,0,0,0
0.5217,3.5393,0.0283,0.1000,0.5010,0.0000,0.0000,6509.7115,37.6067,0.1000,0.5004,0.0000,0.0000,6506.2807,0.0000,0,0,0
0.5218,3.5426,0.0357,0.1000,0.5012,0.0000,0.0000,6509.7115,37.6067,0.1000,0.5004,0.0000,0.0000,6506.2774,0.0000,0,0,0
0.5220,3.5436,0.0445,0.1000,0.5014,0.0000,0.0000,3563.3911,36.0002,0.1000,0.5010,0.0000,0.0000,3560.0290,0.0000,0,0,0
0.5221,3.5446,0.0532,0.1000,0.5015,0.0000,0.0000,3563.3911,36.0002,0.1000,0.5010,0.0000,0.0000,3560.0279,0.0000,0,0,0
0.5223,3.5432,0.0627,0.1000,0.5017,0.0000,0.0000,3545.7587,-22.1631,0.1000,0.5010,0.0000,0.0000,3542.2853,0.0000,0,0,0
0.5224,3.5417,0.0722,0.1000,0.5019,0.0000,0.0000,3545.7587,-22.1631,0.1000,0.5015,0.0000,0.0000,3542.2868,0.0000,0,0,0
0.5226,3.5375,0.0818,0.1000,0.5021,0.0000,0.0000,3545.7587,-22.1631,0.1000,0.5015,0.0000,0.0000,3542.2911,0.0000,0,0,0
0.5228,3.5333,0.0914,0.1000,0.5023,0.0000,0.0000,3545.7587,-22.1631,0.1000,0.5015,0.0000,0.0000,3542.2954,0.0000,0,0,0
0.5230,3.5263,0.1004,0.1000,0.5026,0.0000,0.0000,3526.8201,96.5360,0.1000,0.5015,0.0000,0.0000,3524.6133,0.0000,0,0,0
0.5232,3.5193,0.1094,0.1000,0.5028,0.0000,0.0000,3526.8201,96.5360,0.1000,0.5021,0.0000,0.0000,3524.6200,0.0000,0,0,0
0.5234,3.5096,0.1172,0.1000,0.5030,0.0000,0.0000,3526.8201,96.5360,0.1000,0.5021,0.0000,0.0000,3524.6295,0.0000,0,0,0
0.5236,3.5000,0.1250,0.1000,0.5033,0.0000,0.0000,3499.7084,119.9085,0.1000,0.5021,0.0000,0.0000,3498.2597,0.0000,0,0,0
0.5238,3.4879,0.1309,0.1000,0.5035,0.0000,0.0000,3499.7084,119.9085,0.1000,0.5029,0.0000,0.0000,3498.2716,0.0000,0,0,0
0.5240,3.4759,0.1368,0.1000,0.5038,0.0000,0.0000,3499.7084,119.9085,0.1000,0.5029,0.0000,0.0000,3498.2834,0.0000,0,0,0
0.5243,3.4618,0.1402,0.1000,0.5041,0.0000,0.0000,3465.1160,139.9732,0.1000,0.5029,0.0000,0.0000,3464.4773,0.0000,0,0,0
0.5245,3.4477,0.1436,0.1000,0.5044,0.0000,0.0000,3465.1160,139.9732,0.1000,0.5037,0.0000,0.0000,3464.4913,0.0000,0,0,0
0.5248,3.4322,0.1440,0.1000,0.5047,0.0000,0.0000,3465.1160,139.9732,0.1000,0.5037,0.0000,0.0000,3464.5068,0.0000,0,0,0
0.5250,3.4167,0.1443,0.1000,0.5050,0.0000,0.0000,3465.1160,139.9732,0.1000,0.5037,0.0000,0.0000,3464.5223,0.0000,0,0,0
0.5253,3.4003,0.1413,0.1000,0.5053,0.0000,0.0000,3465.1160,139.9732,0.1000,0.5037,0.0000,0.0000,3464.5388,0.0000,0,0,0
0.5256,3.3839,0.1383,0.1000,0.5057,0.0000,0.0000,3355.0417,127.8890,0.1000,0.5051,0.0000,0.0000,3354.0915,0.0000,0,0,0
0.5259,3.3675,0.1317,0.1000,0.5060,0.0000,0.0000,3355.0417,127.8890,0.1000,0.5051,0.0000,0.0000,3354.1082,0.0000,0,0,0
0.5262,3.3510,0.1250,0.1000,0.5064,0.0000,0.0000,3355.0417,127.8890,0.1000,0.5051,0.0000,0.0000,3354.1249,0.0000,0,0,0
0.5265,3.3353,0.1146,0.1000,0.5067,0.0000,0.0000,3333.7561,111.6658,0.1000,0.5062,0.0000,0.0000,3332.2885,0.0000,0,0,0
0.5268,3.3196,0.1042,0.1000,0.5071,0.0000,0.0000,3333.7561,111.6658,0.1000,0.5062,0.0000,0.0000,3332.3045,0.0000,0,0,0
0.5272,3.3054,0.0901,0.1000,0.5075,0.0000,0.0000,3333.7561,111.6658,0.1000,0.5062,0.0000,0.0000,3332.3192,0.0000,0,0,0
0.5275,3.2912,0.0760,0.1000,0.5079,0.0000,0.0000,3251.6192,75.7466,0.1000,0.5073,0.0000,0.0000,3249.2093,0.0000,0,0,0
0.5279,3.2793,0.0585,0.1000,0.5083,0.0000,0.0000,3251.6192,75.7466,0.1000,0.5073,0.0000,0.0000,3249.2215,0.0000,0,0,0
0.5282,3.2675,0.0410,0.1000,0.5087,0.0000,0.0000,3251.6192,75.7466,0.1000,0.5073,0.0000,0.0000,3249.2338,0.0000,0,0,0
0.5286,3.2587,0.0205,0.1000,0.5092,0.0000,0.0000,3258.9983,17.2129,0.1000,0.5085,0.0000,0.0000,3255.7849,0.0000,0,0,0
0.5290,3.2500,0.0000,0.1000,0.5096,0.0000,0.0000,3258.9983,17.2129,0.1000,0.5085,0.0000,0.0000,3255.7938,0.0000,0,0,0
0.5293,3.2451,-0.0229,0.1000,0.5101,0.0000,0.0000,3258.9983,17.2129,0.1000,0.5085,0.0000,0.0000,3255.7988,0.0000,0,0,0
0.5297,3.2401,-0.0458,0.1000,0.5105,0.0000,0.0000,3258.9983,17.2129,0.1000,0.5085,0.0000,0.0000,3255.8039,0.0000,0,0,0
0.5302,3.2395,-0.0704,0.1000,0.5110,0.0000,0.0000,3240.0000,-65.8853,0.1000,0.5101,0.0000,0.0000,3237.4296,0.0000,0,0,0
0.5306,3.2390,-0.0950,0.1000,0.5115,0.0000,0.0000,3240.0000,-65.8853,0.1000,0.5101,0.0000,0.0000,3237.4296,0.0000,0,0,0
