t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,3.5000,0.0000,0.1000,0.0000,0.0000,0.0000,3500.0000,0.0000,0.2431,5.1360,0.0000,0.0000,3496.5000,0.1431,0,0,0
0.0521,3.5000,0.0000,0.1000,0.0167,0.0000,0.0000,3500.0000,0.0000,0.2431,5.1360,0.0000,0.0000,3496.5000,0.1431,0,0,0
0.1042,3.5000,0.0000,0.1000,0.0679,0.0000,0.0000,3500.0000,0.0000,0.2431,5.1360,0.0000,0.0000,3496.5000,0.1431,0,0,0
0.1562,3.5000,0.0000,0.1000,0.1286,0.0000,0.0000,3500.0000,0.0000,0.2431,5.1360,0.0000,0.0000,3496.5000,0.1431,0,0,0
0.2083,3.5000,0.0000,0.1000,0.1893,0.0000,0.0000,3500.0000,0.0000,0.1006,5.0332,0.0000,0.0000,3496.5000,0.0006,0,0,0
0.2604,3.5000,0.0000,0.1000,0.2500,0.0000,0.0000,3500.0000,0.0000,0.1006,5.0332,0.0000,0.0000,3496.5000,0.0006,0,0,0
0.3125,3.5000,0.0000,0.1000,0.3107,0.0000,0.0000,3500.0000,0.0000,0.1006,5.0332,0.0000,0.0000,3496.5000,0.0006,0,0,0
0.3646,3.5000,0.0000,0.1000,0.3714,0.0000,0.0000,3500.0000,0.0000,0.1006,5.0332,0.0000,0.0000,3496.5000,0.0006,0,0,0
0.4167,3.5000,0.0000,0.1000,0.4321,0.0000,0.0000,3500.0000,0.0000,0.1006,5.0332,0.0000,0.0000,3496.5000,0.0006,0,0,0
0.4687,3.5000,0.0000,0.1000,0.4833,0.0000,0.0000,3500.0000,0.0000,0.1006,5.0332,0.0000,0.0000,3496.5000,0.0006,0,0,0
0.5208,3.5000,0.0000,0.1000,0.5000,0.0000,0.0000,3500.0000,0.0000,0.1000,4.7126,0.0000,0.0000,3496.5000,0.0000,0,0,0
0.5209,3.5068,0.0012,0.1000,0.5001,0.0000,0.0000,3500.0000,0.0000,0.1000,4.7126,0.0000,0.0000,3496.4932,0.0000,0,0,0
0.5211,3.5137,0.0024,0.1000,0.5003,0.0000,0.0000,3510.5212,1.9977,0.1000,4.3881,0.0000,0.0000,3507.0081,0.0000,0,0,0
0.5212,3.5199,0.0060,0.1000,0.5004,0.0000,0.0000,3497.9268,38.5901,0.1000,3.7319,0.0000,0.0000,3494.6199,0.0000,0,0,0
0.5213,3.5261,0.0095,0.1000,0.5006,0.0000,0.0000,3526.0000,10.0000,0.1000,3.7319,0.0000,0.0000,3522.4881,0.0000,0,0,0
0.5214,3.5311,0.0152,0.1000,0.5007,0.0000,0.0000,3526.0000,10.0000,0.1000,3.4089,0.0000,0.0000,3522.4831,0.0000,0,0,0
0.5216,3.5361,0.0208,0.1000,0.5009,0.0000,0.0000,3526.0000,10.0000,0.1000,3.4089,0.0000,0.0000,3522.4781,0.0000,0,0,0
0.5217,3.5393,0.0283,0.1000,0.5010,0.0000,0.0000,3536.7809,28.8609,0.1000,3.0966,0.0000,0.0000,3533.3592,0.0000,0,0,0
0.5218,3.5426,0.0357,0.1000,0.5012,0.0000,0.0000,3542.8517,40.7184,0.1000,2.7692,0.0000,0.0000,3539.5429,0.0000,0,0,0
0.5220,3.5436,0.0445,0.1000,0.5014,0.0000,0.0000,3542.8517,40.7184,0.1000,2.7692,0.0000,0.0000,3539.5418,0.0000,0,0,0
0.5221,3.5446,0.0532,0.1000,0.5015,0.0000,0.0000,3544.1273,56.2339,0.1000,2.4357,0.0000,0.0000,3541.0284,0.0000,0,0,0
0.5223,3.5432,0.0627,0.1000,0.5017,0.0000,0.0000,3544.1273,56.2339,0.1000,2.4357,0.0000,0.0000,3541.0297,0.0000,0,0,0
0.5224,3.5417,0.0722,0.1000,0.5019,0.0000,0.0000,3545.0841,71.9240,0.1000,1.7962,0.0000,0.0000,3542.2712,0.0000,0,0,0
0.5226,3.5375,0.0818,0.1000,0.5021,0.0000,0.0000,3545.0841,71.9240,0.1000,1.7962,0.0000,0.0000,3542.2752,0.0000,0,0,0
0.5228,3.5333,0.0914,0.1000,0.5023,0.0000,0.0000,3529.6957,91.0000,0.1000,0.8160,0.0000,0.0000,3527.3341,0.0000,0,0,0
0.5230,3.5263,0.1004,0.1000,0.5026,0.0000,0.0000,3529.6957,91.0000,0.1000,0.8160,0.0000,0.0000,3527.3408,0.0000,0,0,0
0.5232,3.5193,0.1094,0.1000,0.5028,0.0000,0.0000,3521.2187,106.9339,0.1000,0.5036,0.0000,0.0000,3519.3210,0.0000,0,0,0
0.5234,3.5096,0.1172,0.1000,0.5030,0.0000,0.0000,3519.0000,109.0000,0.1000,0.5026,0.0000,0.0000,3517.1761,0.0000,0,0,0
0.5236,3.5000,0.1250,0.1000,0.5033,0.0000,0.0000,3519.0000,109.0000,0.1000,0.5026,0.0000,0.0000,3517.1855,0.0000,0,0,0
0.5238,3.4879,0.1309,0.1000,0.5035,0.0000,0.0000,3518.2824,134.1267,0.1000,0.5031,0.0000,0.0000,3517.3477,0.0000,0,0,0
0.5240,3.4759,0.1368,0.1000,0.5038,0.0000,0.0000,3485.5699,137.1605,0.1000,0.5035,0.0000,0.0000,3484.7890,0.0000,0,0,0
0.5243,3.4618,0.1402,0.1000,0.5041,0.0000,0.0000,3462.2591,137.1398,0.1000,0.5038,0.0000,0.0000,3461.5094,0.0000,0,0,0
0.5245,3.4477,0.1436,0.1000,0.5044,0.0000,0.0000,3438.8123,133.4195,0.1000,0.5041,0.0000,0.0000,3437.9488,0.0000,0,0,0
0.5248,3.4322,0.1440,0.1000,0.5047,0.0000,0.0000,3435.6422,144.0000,0.1000,0.5044,0.0000,0.0000,3435.2235,0.0000,0,0,0
0.5250,3.4167,0.1443,0.1000,0.5050,0.0000,0.0000,3435.6422,144.0000,0.1000,0.5044,0.0000,0.0000,3435.2390,0.0000,0,0,0
0.5253,3.4003,0.1413,0.1000,0.5053,0.0000,0.0000,3435.6422,144.0000,0.1000,0.5044,0.0000,0.0000,3435.2555,0.0000,0,0,0
0.5256,3.3839,0.1383,0.1000,0.5057,0.0000,0.0000,3379.3978,138.0017,0.1000,0.5051,0.0000,0.0000,3378.8276,0.0000,0,0,0
0.5259,3.3675,0.1317,0.1000,0.5060,0.0000,0.0000,3369.6581,132.0000,0.1000,0.5054,0.0000,0.0000,3368.8725,0.0000,0,0,0
0.5262,3.3510,0.1250,0.1000,0.5064,0.0000,0.0000,3381.3128,125.0001,0.1000,0.5056,0.0000,0.0000,3380.2691,0.0000,0,0,0
0.5265,3.3353,0.1146,0.1000,0.5067,0.0000,0.0000,3381.3128,125.0001,0.1000,0.5056,0.0000,0.0000,3380.2852,0.0000,0,0,0
0.5268,3.3196,0.1042,0.1000,0.5071,0.0000,0.0000,3319.8377,94.8425,0.1000,0.5066,0.0000,0.0000,3317.8709,0.0000,0,0,0
0.5272,3.3054,0.0901,0.1000,0.5075,0.0000,0.0000,3307.3212,90.4777,0.1000,0.5070,0.0000,0.0000,3305.2519,0.0000,0,0,0
0.5275,3.2912,0.0760,0.1000,0.5079,0.0000,0.0000,3293.7748,78.7748,0.1000,0.5072,0.0000,0.0000,3291.4246,0.0000,0,0,0
0.5279,3.2793,0.0585,0.1000,0.5083,0.0000,0.0000,3281.0537,64.4453,0.1000,0.5078,0.0000,0.0000,3278.4067,0.0000,0,0,0
0.5282,3.2675,0.0410,0.1000,0.5087,0.0000,0.0000,3269.0324,35.6408,0.1000,0.5080,0.0000,0.0000,3265.9590,0.0000,0,0,0
0.5286,3.2587,0.0205,0.1000,0.5092,0.0000,0.0000,3269.0324,35.6408,0.1000,0.5080,0.0000,0.0000,3265.9680,0.0000,0,0,0
0.5290,3.2500,0.0000,0.1000,0.5096,0.0000,0.0000,3250.0014,-2.7692,0.1000,0.5092,0.0000,0.0000,3246.7526,0.0000,0,0,0
0.5293,3.2451,-0.0229,0.1000,0.5101,0.0000,0.0000,3250.0014,-2.7692,0.1000,0.5092,0.0000,0.0000,3246.7575,0.0000,0,0,0
0.5297,3.2401,-0.0458,0.1000,0.5105,0.0000,0.0000,3250.0014,-2.7692,0.1000,0.5092,0.0000,0.0000,3246.7624,0.0000,0,0,0
0.5302,3.2395,-0.0704,0.1000,0.5110,0.0000,0.0000,3250.0014,-2.7692,0.1000,0.5092,0.0000,0.0000,3246.7630,0.0000,0,0,0
0.5306,3.2390,-0.0950,0.1000,0.5115,0.0000,0.0000,3238.5696,-159.5109,0.1000,0.5105,0.0000,0.0000,3239.2558,0.0000,0,0,0
0.5310,3.2432,-0.1204,0.1000,0.5120,0.0000,0.0000,3238.5696,-159.5109,0.1000,0.5105,0.0000,0.0000,3239.2503,0.0000,0,0,0
