t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0,0,0
0.2877,10.7222,5.3611,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7775,0.0000,0.0000,0.0000,11.9878,1.2225,1,1,0
0.5754,27.8778,13.9389,5.0000,0.0000,0.0000,0.0000,975.2000,619.4000,4.9743,0.0000,0.0000,0.0000,1124.2787,0.0257,1,1,0
0.8631,38.6000,19.3000,5.0000,0.0000,0.0000,0.0000,1037.8000,682.0000,4.9993,0.0000,0.0000,0.0000,1198.9879,0.0007,1,1,0
0.9881,38.6000,19.3000,4.7500,0.0000,0.0000,0.0000,1037.8000,682.0000,4.9993,0.0000,0.0000,0.0000,1198.9879,0.2493,1,1,0
1.1132,38.6000,19.3000,4.4999,0.0000,0.0000,0.0000,1037.8000,682.0000,4.9993,0.0000,0.0000,0.0000,1198.9879,0.4994,1,1,0
1.3720,38.6000,19.3000,4.4618,0.0000,0.0000,0.0000,4212.8000,2171.5000,4.7931,0.0000,0.0000,0.0000,4696.3721,0.3313,1,1,0
1.6308,38.6000,19.3000,4.3477,0.0000,0.0000,0.0000,4276.6000,2189.6000,4.4737,0.0000,0.0000,0.0000,4761.3912,0.1260,1,1,0
1.8896,38.6000,19.3000,4.1573,0.0000,0.0000,0.0000,6083.1000,3071.7000,4.3794,0.0000,0.0000,0.0000,6771.4936,0.2221,1,1,0
2.1484,38.6000,19.3000,3.8529,0.0000,0.0000,0.0000,6083.1000,3071.7000,4.3794,0.0000,0.0000,0.0000,6771.4936,0.5265,1,1,0
2.4073,38.6000,19.3000,3.5078,0.0000,0.0000,0.0000,6641.2000,3580.3000,4.1029,0.0000,0.0000,0.0000,7501.6697,0.5951,1,1,0
2.6661,38.6000,19.3000,3.1627,0.0000,0.0000,0.0000,7280.8000,4063.5000,3.6769,0.0000,0.0000,0.0000,8294.8788,0.5142,1,1,0
2.9249,38.6000,19.3000,2.8176,0.0000,0.0000,0.0000,8302.8000,4666.2000,3.2251,0.0000,0.0000,0.0000,9481.0696,0.4075,1,1,0
3.1837,38.6000,19.3000,2.4725,0.0000,0.0000,0.0000,8528.2000,4891.6000,3.2251,0.0000,0.0000,0.0000,9788.3919,0.7526,1,1,0
3.4425,38.6000,19.3000,2.1274,0.0000,0.0000,0.0000,8528.2000,4891.6000,2.7858,0.0000,0.0000,0.0000,9788.3919,0.6584,1,1,0
3.7013,38.6000,19.3000,1.7823,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.2002,0.0000,0.0000,0.0000,15848.1606,0.4179,1,1,0
3.9602,38.6000,19.3000,1.4372,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.1274,0.0000,0.0000,0.0000,15848.1606,0.6902,1,1,0
4.2190,38.6000,19.3000,1.0921,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.1274,0.0000,0.0000,0.0000,15848.1606,1.0353,1,1,0
4.4778,38.6000,19.3000,0.7470,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.1274,0.0000,0.0000,0.0000,15848.1606,1.3804,1,1,0
4.7366,38.6000,19.3000,0.4426,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.1274,0.0000,0.0000,0.0000,15848.1606,1.6848,1,1,0
4.9954,38.6000,19.3000,0.2522,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.1274,0.0000,0.0000,0.0000,15848.1606,1.8752,1,1,0
5.2543,38.6000,19.3000,0.1381,0.0000,0.0000,0.0000,13877.6000,7742.4000,2.1274,0.0000,0.0000,0.0000,15848.1606,1.9893,1,1,0
