t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3672,5.1360,0.0000,0.0000,0.0000,0.2672,0,0,0
0.0521,0.0000,0.0000,0.1000,0.0167,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.1042,0.0000,0.0000,0.1000,0.0679,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.1562,0.0000,0.0000,0.1000,0.1286,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.2083,0.0000,0.0000,0.1000,0.1893,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.2604,0.0000,0.0000,0.1000,0.2500,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.3125,0.0000,0.0000,0.1000,0.3107,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.3646,0.0000,0.0000,0.1000,0.3714,0.0000,0.0000,0.0000,0.0000,0.1208,5.1360,0.0000,0.0000,0.0000,0.0208,0,0,0
0.4167,0.0000,0.0000,0.1000,0.4321,0.0000,0.0000,0.0000,0.0000,0.1006,4.8308,0.0000,0.0000,0.0000,0.0006,0,0,0
0.4687,0.0000,0.0000,0.1000,0.4833,0.0000,0.0000,0.0000,0.0000,0.1006,4.8308,0.0000,0.0000,0.0000,0.0006,0,0,0
0.5208,0.0000,0.0000,0.1000,0.5000,0.0000,0.0000,0.0000,0.0000,0.1006,4.8308,0.0000,0.0000,0.0000,0.0006,0,0,0
0.5376,1.0000,0.0000,0.1000,0.5198,0.0000,0.0000,1042.7836,0.0000,0.1000,4.5093,0.0000,0.0000,1041.7836,0.0000,0,0,0
