t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2812,5.1360,0.0000,0.0000,0.0000,0.1812,0,0,0
0.0521,0.0000,0.0000,0.1000,0.0167,0.0000,0.0000,0.0000,0.0000,0.2812,5.1360,0.0000,0.0000,0.0000,0.1812,0,0,0
0.1042,0.0000,0.0000,0.1000,0.0679,0.0000,0.0000,0.0000,0.0000,0.2812,5.1360,0.0000,0.0000,0.0000,0.1812,0,0,0
0.1562,0.0000,0.0000,0.1000,0.1286,0.0000,0.0000,0.0000,0.0000,0.1077,5.0881,0.0000,0.0000,0.0000,0.0077,0,0,0
0.2083,0.0000,0.0000,0.1000,0.1893,0.0000,0.0000,0.0000,0.0000,0.1077,5.0881,0.0000,0.0000,0.0000,0.0077,0,0,0
0.2604,0.0000,0.0000,0.1000,0.2500,0.0000,0.0000,0.0000,0.0000,0.1077,5.0881,0.0000,0.0000,0.0000,0.0077,0,0,0
0.3125,0.0000,0.0000,0.1000,0.3107,0.0000,0.0000,0.0000,0.0000,0.1077,5.0881,0.0000,0.0000,0.0000,0.0077,0,0,0
0.3646,0.0000,0.0000,0.1000,0.3714,0.0000,0.0000,0.0000,0.0000,0.1077,5.0881,0.0000,0.0000,0.0000,0.0077,0,0,0
0.4167,0.0000,0.0000,0.1000,0.4321,0.0000,0.0000,0.0000,0.0000,0.1077,5.0881,0.0000,0.0000,0.0000,0.0077,0,0,0
0.4687,0.0000,0.0000,0.1000,0.4833,0.0000,0.0000,0.0000,0.0000,0.1002,4.7616,0.0000,0.0000,0.0000,0.0002,0,0,0
0.5208,0.0000,0.0000,0.1000,0.5000,0.0000,0.0000,0.0000,0.0000,0.1002,4.7616,0.0000,0.0000,0.0000,0.0002,0,0,0
0.5376,1.0000,0.0000,0.1000,0.5198,0.0000,0.0000,1000.0000,0.0000,0.1002,4.7616,0.0000,0.0000,999.0000,0.0002,0,0,0
0.5543,2.0000,0.0000,0.1000,0.5397,0.0000,0.0000,1000.0000,0.0000,0.1000,4.4382,0.0000,0.0000,998.0000,0.0000,0,0,0
0.5711,1.5000,0.8660,0.1000,0.5595,0.0000,0.0000,1529.2115,791.9439,0.1000,4.1223,0.0000,0.0000,1720.3798,0.0000,0,0,0
0.5878,1.0000,1.7321,0.1000,0.5793,0.0000,0.0000,996.0881,1736.9163,0.1000,3.1709,0.0000,0.0000,2000.2661,0.0000,0,0,0
0.6046,0.0000,1.7321,0.1000,0.5991,0.0000,0.0000,859.4259,1732.0000,0.1000,2.8476,0.0000,0.0000,1931.9524,0.0000,0,0,0
0.6213,-1.0000,1.7321,0.1000,0.6190,0.0000,0.0000,-999.5771,1732.0000,0.1000,2.8476,0.0000,0.0000,1997.7446,0.0000,0,0,0
0.6381,-1.5000,0.8660,0.1000,0.6388,0.0000,0.0000,-1501.5387,868.5862,0.1000,1.2596,0.0000,0.0000,1732.9323,0.0000,0,0,0
0.6548,-2.0000,0.0000,0.1000,0.6586,0.0000,0.0000,-1945.1623,138.7041,0.1000,0.9389,0.0000,0.0000,1948.1064,0.0000,0,0,0
0.6715,-1.5000,-0.8660,0.1000,0.6785,0.0000,0.0000,-1787.8267,-219.3995,0.1000,0.6727,0.0000,0.0000,1799.6444,0.0000,0,0,0
0.6883,-1.0000,-1.7321,0.1000,0.6983,0.0000,0.0000,-999.9987,-1736.6992,0.1000,0.6754,0.0000,0.0000,2002.0264,0.0000,0,0,0
0.7050,-0.0000,-1.7321,0.1000,0.7181,0.0000,0.0000,-161.9619,-1732.0000,0.1000,0.6923,0.0000,0.0000,1737.8316,0.0000,0,0,0
0.7218,1.0000,-1.7321,0.1000,0.7379,0.0000,0.0000,1009.9174,-1732.0000,0.1000,0.7147,0.0000,0.0000,2002.9332,0.0000,0,0,0
0.7385,0.5000,-0.8660,0.1000,0.7578,0.0000,0.0000,1009.9174,-1732.0000,0.1000,0.7147,0.0000,0.0000,2003.9332,0.0000,0,0,0
0.7553,0.0000,0.0000,0.1000,0.7776,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,0
0.8074,0.0000,0.0000,0.1000,0.7609,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
0.8594,0.0000,0.0000,0.1000,0.7097,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
0.9115,0.0000,0.0000,0.1000,0.6490,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
0.9636,0.0000,0.0000,0.1000,0.5883,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.0157,0.0000,0.0000,0.1000,0.5276,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.0678,0.0000,0.0000,0.1000,0.4669,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.1199,0.0000,0.0000,0.1000,0.4062,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.1719,0.0000,0.0000,0.1000,0.3455,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.2240,0.0000,0.0000,0.1000,0.2943,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.2761,0.0000,0.0000,0.1000,0.2776,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,1
1.2761,0.0000,0.0000,0.1000,0.2776,0.0000,0.0000,106.0035,-268.5020,0.1000,0.7475,0.0000,0.0000,288.6695,0.0000,0,0,0
