t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.5245,3.4477,0.1436,0.1000,0.5044,0.0000,0.0000,3476.0000,137.0000,0.1000,0.5035,0.0000,0.0000,3475.2480,0.0000,0,0,0
0.5248,3.4322,0.1440,0.1000,0.5047,0.0000,0.0000,3432.0000,144.0000,0.1000,0.5035,0.0000,0.0000,3431.5844,0.0000,0,0,0
0.5250,3.4167,0.1443,0.1000,0.5050,0.0000,0.0000,3432.0000,144.0000,0.1000,0.5043,0.0000,0.0000,3431.5999,0.0000,0,0,0
0.5253,3.4003,0.1413,0.1000,0.5053,0.0000,0.0000,3409.5480,140.9995,0.1000,0.5049,0.0000,0.0000,3409.0590,0.0000,0,0,0
0.5256,3.3839,0.1383,0.1000,0.5057,0.0000,0.0000,3384.3224,118.0777,0.1000,0.5053,0.0000,0.0000,3382.9950,0.0000,0,0,0
0.5259,3.3675,0.1317,0.1000,0.5060,0.0000,0.0000,3374.3780,132.0001,0.1000,0.5056,0.0000,0.0000,3373.5888,0.0000,0,0,0
0.5262,3.3510,0.1250,0.1000,0.5064,0.0000,0.0000,3352.0902,122.4922,0.1000,0.5060,0.0000,0.0000,3350.9742,0.0000,0,0,0
0.5265,3.3353,0.1146,0.1000,0.5067,0.0000,0.0000,3328.7608,115.9906,0.1000,0.5061,0.0000,0.0000,3327.4438,0.0000,0,0,0
0.5268,3.3196,0.1042,0.1000,0.5071,0.0000,0.0000,3313.0317,84.3370,0.1000,0.5067,0.0000,0.0000,3310.7838,0.0000,0,0,0
0.5272,3.3054,0.0901,0.1000,0.5075,0.0000,0.0000,3304.1588,88.1554,0.1000,0.5070,0.0000,0.0000,3302.0280,0.0000,0,0,0
0.5275,3.2912,0.0760,0.1000,0.5079,0.0000,0.0000,3289.2093,74.2092,0.1000,0.5075,0.0000,0.0000,3286.7542,0.0000,0,0,0
0.5279,3.2793,0.0585,0.1000,0.5083,0.0000,0.0000,3279.1137,55.6640,0.1000,0.5078,0.0000,0.0000,3276.3062,0.0000,0,0,0
0.5282,3.2675,0.0410,0.1000,0.5087,0.0000,0.0000,3266.8711,43.3948,0.1000,0.5083,0.0000,0.0000,3263.8915,0.0000,0,0,0
0.5286,3.2587,0.0205,0.1000,0.5092,0.0000,0.0000,3266.8711,43.3948,0.1000,0.5083,0.0000,0.0000,3263.9005,0.0000,0,0,0
0.5290,3.2500,0.0000,0.1000,0.5096,0.0000,0.0000,3249.8932,-3.9092,0.1000,0.5089,0.0000,0.0000,3246.6455,0.0000,0,0,0
0.5293,3.2451,-0.0229,0.1000,0.5101,0.0000,0.0000,3249.8932,-3.9092,0.1000,0.5089,0.0000,0.0000,3246.6505,0.0000,0,0,0
0.5297,3.2401,-0.0458,0.1000,0.5105,0.0000,0.0000,3240.0000,-46.0000,0.1000,0.5089,0.0000,0.0000,3237.0861,0.0000,0,0,0
0.5302,3.2395,-0.0704,0.1000,0.5110,0.0000,0.0000,3240.0000,-46.0000,0.1000,0.5100,0.0000,0.0000,3237.0863,0.0000,0,0,0
0.5306,3.2390,-0.0950,0.1000,0.5115,0.0000,0.0000,3240.0000,-46.0000,0.1000,0.5100,0.0000,0.0000,3237.0865,0.0000,0,0,0
0.5310,3.2432,-0.1204,0.1000,0.5120,0.0000,0.0000,3243.0000,-116.5558,0.1000,0.5115,0.0000,0.0000,3241.8484,0.0000,0,0,0
0.5314,3.2474,-0.1458,0.1000,0.5125,0.0000,0.0000,3243.0000,-116.5558,0.1000,0.5115,0.0000,0.0000,3241.8433,0.0000,0,0,0
0.5319,3.2567,-0.1711,0.1000,0.5131,0.0000,0.0000,3253.7368,-168.4295,0.1000,0.5125,0.0000,0.0000,3254.8321,0.0000,0,0,0
0.5323,3.2659,-0.1964,0.1000,0.5136,0.0000,0.0000,3266.0196,-184.4466,0.1000,0.5129,0.0000,0.0000,3267.9519,0.0000,0,0,0
0.5328,3.2803,-0.2206,0.1000,0.5142,0.0000,0.0000,3279.4686,-227.4853,0.1000,0.5132,0.0000,0.0000,3284.0613,0.0000,0,0,0
0.5333,3.2947,-0.2447,0.1000,0.5147,0.0000,0.0000,3294.8624,-276.3743,0.1000,0.5140,0.0000,0.0000,3303.1297,0.0000,0,0,0
0.5338,3.3140,-0.2667,0.1000,0.5153,0.0000,0.0000,3313.9826,-263.6986,0.1000,0.5147,0.0000,0.0000,3321.1328,0.0000,0,0,0
0.5343,3.3333,-0.2887,0.1000,0.5159,0.0000,0.0000,3333.4244,-287.4543,0.1000,0.5152,0.0000,0.0000,3342.4497,0.0000,0,0,0
0.5348,3.3573,-0.3075,0.1000,0.5165,0.0000,0.0000,3321.3498,-307.2189,0.1000,0.5159,0.0000,0.0000,3332.1568,0.0000,0,0,0
0.5353,3.3812,-0.3263,0.1000,0.5171,0.0000,0.0000,3378.8367,-326.3359,0.1000,0.5165,0.0000,0.0000,3391.1623,0.0000,0,0,0
0.5358,3.4093,-0.3410,0.1000,0.5177,0.0000,0.0000,3383.9874,-341.0000,0.1000,0.5171,0.0000,0.0000,3397.6988,0.0000,0,0,0
0.5363,3.4373,-0.3556,0.1000,0.5184,0.0000,0.0000,3437.0910,-383.4661,0.1000,0.5177,0.0000,0.0000,3454.9604,0.0000,0,0,0
0.5369,3.4686,-0.3653,0.1000,0.5190,0.0000,0.0000,3437.0910,-383.4661,0.1000,0.5177,0.0000,0.0000,3454.9282,0.0000,0,0,0
0.5374,3.5000,-0.3750,0.1000,0.5197,0.0000,0.0000,3496.7376,-375.0687,0.1000,0.5187,0.0000,0.0000,3513.2754,0.0000,0,0,0
