t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0,0,0
0.2877,10.7222,5.3611,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4043,0.0000,0.0000,0.0000,11.9878,0.5957,1,1,0
0.5754,27.8778,13.9389,5.0000,0.0000,0.0000,0.0000,1891.7000,924.4000,4.9882,0.0000,0.0000,0.0000,2074.3126,0.0118,1,1,0
0.8631,38.6000,19.3000,5.0000,0.0000,0.0000,0.0000,1891.7000,924.4000,4.9882,0.0000,0.0000,0.0000,2062.3253,0.0118,1,1,0
0.9881,38.6000,19.3000,4.7500,0.0000,0.0000,0.0000,2318.6000,1340.2000,4.9998,0.0000,0.0000,0.0000,2634.9909,0.2498,1,1,0
1.1132,38.6000,19.3000,4.4999,0.0000,0.0000,0.0000,2318.6000,1340.2000,4.9998,0.0000,0.0000,0.0000,2634.9909,0.4999,1,1,0
1.3720,38.6000,19.3000,4.4618,0.0000,0.0000,0.0000,4632.8000,2498.4000,4.5730,0.0000,0.0000,0.0000,5220.4033,0.1112,1,1,0
1.6308,38.6000,19.3000,4.3477,0.0000,0.0000,0.0000,4641.1000,2506.7000,4.4675,0.0000,0.0000,0.0000,5231.6503,0.1198,1,1,0
1.8896,38.6000,19.3000,4.1573,0.0000,0.0000,0.0000,6544.8000,3554.1000,4.4675,0.0000,0.0000,0.0000,7404.4209,0.3102,1,1,0
2.1484,38.6000,19.3000,3.8529,0.0000,0.0000,0.0000,6544.8000,3554.1000,4.3599,0.0000,0.0000,0.0000,7404.4209,0.5070,1,1,0
2.4073,38.6000,19.3000,3.5078,0.0000,0.0000,0.0000,6714.0000,3723.2000,4.3599,0.0000,0.0000,0.0000,7634.1234,0.8521,1,1,0
2.6661,38.6000,19.3000,3.1627,0.0000,0.0000,0.0000,8378.9000,4506.9000,3.9172,0.0000,0.0000,0.0000,9470.9639,0.7545,1,1,0
2.9249,38.6000,19.3000,2.8176,0.0000,0.0000,0.0000,9068.6000,5053.1000,3.9172,0.0000,0.0000,0.0000,10338.2804,1.0996,1,1,0
3.1837,38.6000,19.3000,2.4725,0.0000,0.0000,0.0000,9607.8000,5509.2000,3.1969,0.0000,0.0000,0.0000,11032.1616,0.7244,1,1,0
3.4425,38.6000,19.3000,2.1274,0.0000,0.0000,0.0000,9607.8000,5509.2000,2.8254,0.0000,0.0000,0.0000,11032.1616,0.6980,1,1,0
3.7013,38.6000,19.3000,1.7823,0.0000,0.0000,0.0000,10576.6000,6101.3000,2.2443,0.0000,0.0000,0.0000,12167.1758,0.4620,1,1,0
3.9602,38.6000,19.3000,1.4372,0.0000,0.0000,0.0000,10604.6000,6129.4000,1.8168,0.0000,0.0000,0.0000,12205.4774,0.3796,1,1,0
4.2190,38.6000,19.3000,1.0921,0.0000,0.0000,0.0000,10604.6000,6129.4000,1.8168,0.0000,0.0000,0.0000,12205.4774,0.7247,1,1,0
4.4778,38.6000,19.3000,0.7470,0.0000,0.0000,0.0000,13183.8000,7760.0000,1.8168,0.0000,0.0000,0.0000,15254.9900,1.0698,1,1,0
4.7366,38.6000,19.3000,0.4426,0.0000,0.0000,0.0000,13183.8000,7760.0000,1.4717,0.0000,0.0000,0.0000,15254.9900,1.0291,1,1,0
4.9954,38.6000,19.3000,0.2522,0.0000,0.0000,0.0000,15107.8000,8537.0000,0.5544,0.0000,0.0000,0.0000,17309.8816,0.3022,1,1,0
5.2543,38.6000,19.3000,0.1381,0.0000,0.0000,0.0000,15297.7000,8727.0000,0.2728,0.0000,0.0000,0.0000,17568.8409,0.1347,1,1,0
5.5131,38.6000,19.3000,0.1000,0.0000,0.0000,0.0000,15297.7000,8727.0000,0.2728,0.0000,0.0000,0.0000,17568.8409,0.1728,1,1,0
5.5645,38.6000,19.3000,0.1000,0.0055,0.0000,0.0000,17604.8000,9949.2000,0.1486,0.0000,0.0000,0.0000,20178.5603,0.0486,1,0,0
5.6159,38.6000,19.3000,0.1000,0.0219,0.0000,0.0000,17604.8000,9949.2000,0.1486,0.0000,0.0000,0.0000,20178.5603,0.0486,1,0,0
5.6673,38.6000,19.3000,0.1000,0.0493,0.0000,0.0000,17604.8000,9949.2000,0.1486,0.0000,0.0000,0.0000,20178.5603,0.0486,1,0,0
5.7187,38.6000,19.3000,0.1000,0.0877,0.0000,0.0000,23284.7000,12445.5000,0.1486,0.0000,0.0000,0.0000,26358.9000,0.0486,1,0,0
5.7700,38.6000,19.3000,0.1000,0.1410,0.0000,0.0000,23284.7000,12445.5000,0.1005,0.0393,0.0000,0.0000,26358.9000,0.0005,1,0,0
5.8214,38.6000,19.3000,0.1000,0.2009,0.0000,0.0000,23284.7000,12445.5000,0.1005,0.0393,0.0000,0.0000,26358.9000,0.0005,1,0,0
5.8728,38.6000,19.3000,0.1000,0.2608,0.0000,0.0000,30790.0000,15738.0000,0.1005,0.0393,0.0000,0.0000,34535.8673,0.0005,1,0,0
5.9242,38.6000,19.3000,0.1000,0.3207,0.0000,0.0000,30790.0000,15738.0000,0.1000,0.1861,0.0000,0.0000,34535.8673,0.0000,1,0,0
5.9756,38.6000,19.3000,0.1000,0.3806,0.0000,0.0000,30790.0000,15738.0000,0.1000,0.1861,0.0000,0.0000,34535.8673,0.0000,1,0,0
6.0270,38.6000,19.3000,0.1000,0.4405,0.0000,0.0000,30790.0000,15738.0000,0.1000,0.1861,0.0000,0.0000,34535.8673,0.0000,1,0,0
6.0784,38.6000,19.3000,0.1000,0.5004,0.0000,0.0000,36655.3000,18374.4000,0.1000,0.3540,0.0000,0.0000,40959.6437,0.0000,1,0,0
6.1298,38.6000,19.3000,0.1000,0.5603,0.0000,0.0000,36655.3000,18374.4000,0.1000,0.3540,0.0000,0.0000,40959.6437,0.0000,1,0,0
6.1812,38.6000,19.3000,0.1000,0.6203,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.3540,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.2326,38.6000,19.3000,0.1000,0.6802,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.2840,38.6000,19.3000,0.1000,0.7401,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.3354,38.6000,19.3000,0.1000,0.8000,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.3868,38.6000,19.3000,0.1000,0.8599,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.4382,38.6000,19.3000,0.1000,0.9198,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.4896,38.6000,19.3000,0.1000,0.9797,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.5410,38.6000,19.3000,0.1000,1.0396,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.5924,38.6000,19.3000,0.1000,1.0996,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.6438,38.6000,19.3000,0.1000,1.1595,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.6951,38.6000,19.3000,0.1000,1.2194,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.7465,38.6000,19.3000,0.1000,1.2793,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.7979,38.6000,19.3000,0.1000,1.3392,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.8493,38.6000,19.3000,0.1000,1.3925,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.9007,38.6000,19.3000,0.1000,1.4308,0.0000,0.0000,38601.0000,19299.4000,0.1000,0.5316,0.0000,0.0000,43113.5820,0.0000,1,0,0
6.9521,38.6000,19.3000,0.1000,1.4582,0.0000,0.0000,38600.0000,19300.0000,0.1000,0.5316,0.0000,0.0000,43112.9559,0.0000,1,0,0
7.0035,38.6000,19.3000,0.1000,1.4747,0.0000,0.0000,38600.0000,19300.0000,0.1000,1.1781,0.0000,0.0000,43112.9559,0.0000,1,0,0
7.0549,38.6000,19.3000,0.1000,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.1000,1.1781,0.0000,0.0000,43112.9559,0.0000,1,0,0
7.5549,38.6000,19.3000,0.1000,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.1000,1.1781,0.0000,0.0000,43112.9559,0.0000,1,0,0
7.8137,38.6000,19.3000,0.1381,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.1000,1.4704,0.0000,0.0000,43112.9559,0.0381,1,1,0
8.0725,38.6000,19.3000,0.2522,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.1308,1.4799,0.0000,0.0000,43112.9559,0.1214,1,1,0
8.3314,38.6000,19.3000,0.4426,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.2398,1.4802,0.0000,0.0000,43112.9559,0.2028,1,1,0
8.5902,38.6000,19.3000,0.7470,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.2398,1.4802,0.0000,0.0000,43112.9559,0.5072,1,1,0
8.8490,38.6000,19.3000,1.0921,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.5302,1.4802,0.0000,0.0000,43112.9559,0.5619,1,1,0
9.1078,38.6000,19.3000,1.4372,1.4802,0.0000,0.0000,38600.0000,19300.0000,0.9418,1.4802,0.0000,0.0000,43112.9559,0.4954,1,1,0
9.3666,38.6000,19.3000,1.7823,1.4802,0.0000,0.0000,38600.0000,19300.0000,1.3679,1.4802,0.0000,0.0000,43112.9559,0.4144,1,1,0
